epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.974,1.20438,3.20535,1.25914,0.00333,0.84615,0.16701,0.08946,0.91897,3.82737,1.11142,0.00034,0.00034,0.00034
2,93.094,1.15113,2.34659,1.23954,0.00333,0.84615,0.23009,0.13641,1.00459,3.73185,1.14733,0.0006874,0.0006874,0.0006874
3,145.07,1.21286,2.0935,1.28326,1,0.14422,0.26604,0.12997,1.22663,3.67698,1.30102,0.00102184,0.00102184,0.00102184
4,194.491,1.21639,2.00526,1.24611,0.55594,0.48284,0.46206,0.25722,1.32273,3.2803,1.44472,0.00134332,0.00134332,0.00134332
5,246.232,1.25575,1.82604,1.30825,0.78684,0.61538,0.6016,0.40312,1.29413,2.65084,1.26406,0.00165184,0.00165184,0.00165184
6,295.259,1.22749,1.68736,1.29766,0.67251,0.46154,0.45749,0.25301,1.55965,2.77755,1.51069,0.00182,0.00182,0.00182
7,345.227,1.28918,1.61292,1.31797,0.66265,0.61538,0.60554,0.35669,1.68707,2.93451,1.62658,0.001784,0.001784,0.001784
8,395.012,1.1821,1.44369,1.2435,0.93221,0.53846,0.59252,0.40529,1.43828,5.5652,1.4979,0.001748,0.001748,0.001748
9,445.15,1.16013,1.40228,1.23541,0.7212,0.46154,0.52756,0.32658,1.28497,2.68003,1.38323,0.001712,0.001712,0.001712
10,494.916,1.12131,1.22998,1.20013,1,0.59186,0.74755,0.40442,1.49223,1.99107,1.51944,0.001676,0.001676,0.001676
11,544.325,1.18361,1.17782,1.24538,0.75463,0.76923,0.76172,0.47185,1.26746,1.95902,1.38626,0.00164,0.00164,0.00164
12,593.355,1.20344,1.16792,1.23086,0.95677,0.69231,0.69803,0.4573,1.28879,2.19202,1.33803,0.001604,0.001604,0.001604
13,642.41,1.09142,1.04809,1.17293,1,0.6856,0.76198,0.52015,1.23259,2.10569,1.34436,0.001568,0.001568,0.001568
14,691.189,1.04965,0.93889,1.14775,0.98323,0.76923,0.82133,0.49058,1.43395,1.23419,1.42398,0.001532,0.001532,0.001532
15,739.958,1.08489,0.9838,1.16271,0.8385,0.84615,0.84967,0.55457,1.32901,1.25257,1.39928,0.001496,0.001496,0.001496
16,790.873,0.99921,0.82255,1.12133,0.83952,0.84615,0.87549,0.57948,1.14954,0.90477,1.23815,0.00146,0.00146,0.00146
17,840.424,1.00491,0.79597,1.13501,0.87499,0.69231,0.73808,0.45769,1.20547,1.29933,1.28272,0.001424,0.001424,0.001424
18,891.159,1.04013,0.7778,1.13444,1,0.8377,0.8809,0.49144,1.35638,1.03681,1.38664,0.001388,0.001388,0.001388
19,942.355,1.00233,0.79877,1.1186,0.9913,0.69231,0.83873,0.5557,1.14158,1.02928,1.23328,0.001352,0.001352,0.001352
20,992.557,0.96278,0.72106,1.09076,0.91614,0.84082,0.88661,0.52101,1.1999,0.98007,1.26531,0.001316,0.001316,0.001316
21,1040.94,0.91842,0.70687,1.05627,1,0.76756,0.78292,0.49535,1.30709,1.01633,1.28297,0.00128,0.00128,0.00128
